,Date_format,IsOfficialReport,Latitude,Longitude,震度,YouWin
468,2020-02-15 19:03:52,0.0,3.107,101.608,,0.0
469,2020-02-16 03:16:32,1.0,23.84,121.52,4.0,
470,2020-02-16 03:17:10,0.0,25.048,121.532,,1.0
471,2020-02-16 03:20:13,1.0,23.85,121.52,4.0,
472,2020-02-16 03:21:16,0.0,,,,1.0
473,2020-02-16 03:22:30,0.0,25.048,121.532,,0.0
474,2020-02-16 03:23:02,0.0,25.048,121.532,,0.0
475,2020-02-16 03:23:02,0.0,,,,0.0
476,2020-02-16 03:23:34,0.0,25.048,121.532,,0.0
481,2020-02-19 19:55:07,1.0,23.99,121.0,3.0,
482,2020-02-19 19:55:27,0.0,24.147,120.684,,1.0
483,2020-02-19 19:55:27,0.0,25.048,121.532,,1.0
484,2020-02-19 19:57:36,0.0,23.906,120.687,,0.0
485,2020-02-19 19:57:36,0.0,,,,0.0
488,2020-02-24 20:10:33,1.0,23.83,121.55,4.0,
489,2020-02-24 20:10:57,0.0,23.981,121.612,,1.0
490,2020-02-25 09:00:14,1.0,24.54,122.15,2.0,
491,2020-02-25 09:01:01,0.0,25.048,121.532,,1.0
492,2020-02-25 09:04:57,0.0,25.048,121.532,,0.0
493,2020-02-25 23:39:35,1.0,24.4,121.4,4.0,
494,2020-02-25 23:40:18,0.0,25.048,121.532,,1.0
495,2020-02-25 23:40:18,0.0,25.048,121.532,,1.0
499,2020-02-26 13:34:15,1.0,23.88,121.62,4.0,
500,2020-02-26 13:34:32,0.0,23.977,121.604,,1.0
501,2020-02-26 13:35:39,0.0,24.071,120.542,,0.0
502,2020-02-26 13:35:39,0.0,,,,0.0
503,2020-02-26 13:37:06,0.0,24.071,120.542,,0.0
505,2020-03-12 14:07:06,1.0,23.85,121.55,3.0,
506,2020-03-12 14:07:33,0.0,25.048,121.532,,1.0
507,2020-03-12 14:07:40,0.0,23.981,121.612,,0.0
510,2020-03-15 09:52:59,1.0,23.14,120.57,4.0,
511,2020-03-15 09:53:37,0.0,22.615,120.314,,1.0
515,2020-03-18 20:48:56,1.0,25.16,121.55,2.0,
516,2020-03-18 20:49:35,0.0,25.048,121.532,,1.0
517,2020-03-18 20:49:35,0.0,,,,1.0
526,2020-03-20 12:11:17,1.0,24.29,122.12,2.0,
527,2020-03-20 12:12:00,0.0,25.048,121.532,,1.0
528,2020-03-20 12:12:21,0.0,25.048,121.532,,0.0
530,2020-03-26 12:48:07,1.0,22.99,120.15,2.0,
531,2020-03-26 12:48:43,0.0,24.147,120.684,,1.0
533,2020-03-26 14:41:18,1.0,22.99,120.16,3.0,
534,2020-03-26 14:41:43,0.0,24.071,120.542,,1.0
540,2020-04-02 10:52:23,1.0,23.09,120.46,3.0,
541,2020-04-02 10:52:57,0.0,22.615,120.314,,1.0
542,2020-04-02 10:52:58,0.0,22.991,120.213,,0.0
543,2020-04-02 10:53:05,0.0,22.991,120.213,,0.0
544,2020-04-02 10:53:08,0.0,22.991,120.213,,0.0
545,2020-04-02 11:00:43,0.0,25.048,121.532,,0.0
553,2020-04-20 05:59:25,1.0,24.08,121.52,2.0,
554,2020-04-20 05:59:50,0.0,23.977,121.604,,1.0
556,2020-04-21 23:02:11,1.0,24.08,121.75,3.0,
557,2020-04-21 23:03:04,0.0,25.048,121.532,,1.0
559,2020-05-09 13:45:16,1.0,23.85,121.69,2.0,
560,2020-05-09 13:46:08,0.0,23.977,121.604,,1.0
