編號,地震時間,經度,緯度,規模,深度,位置,震度
小區域有感地震,2013/11/6 15:11,120.48,23.43,2.6,10.8,嘉義市政府南偏東方  6.8  公里 (位於嘉義縣水上鄉)(嘉義縣水上鄉),1
小區域有感地震,2013/11/7 15:25,120.91,22.98,3.4,4.5,臺東縣政府西北方  35.3  公里 (位於臺東縣海端鄉)(臺東縣海端鄉),3
88,2013/11/7 15:30,120.91,22.97,4.6,1.7,臺東縣政府西北方  34.0  公里 (位於臺東縣海端鄉)(臺東縣海端鄉),2
小區域有感地震,2013/11/7 15:31,121.58,21.9,3.1,9.5,臺東縣政府南偏東方  104.4  公里 (位於臺灣東南部海域)(臺灣東南部海域),4
小區域有感地震,2013/11/8 03:27,121.67,23.79,3.3,22.6,花蓮縣政府南偏東方  22.5  公里 (位於臺灣東部海域)(臺灣東部海域),2
87,2013/11/8 08:49,121.63,24.33,3.4,23.5,花蓮縣政府北方  38.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),1
小區域有感地震,2013/11/9 13:11,121.64,24.33,3.5,24,花蓮縣政府北方  38.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/11/9 13:31,121.49,24.28,3.3,5.5,花蓮縣政府北偏西方  34.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/11/9 13:33,121.48,24.29,3.7,6.8,花蓮縣政府北偏西方  35.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/11/10 08:07,121.44,24.24,3,7.2,花蓮縣政府西北方  33.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
86,2013/11/10 08:40,121.33,22.84,4.1,21.2,臺東縣政府東偏北方  20.1  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2013/11/10 12:15,121.38,23,3.2,19.3,臺東縣政府東北方  36.0  公里 (位於臺東縣近海)(臺東縣近海),3
小區域有感地震,2013/11/10 12:16,121.79,24.29,3.3,14.2,花蓮縣政府北偏東方  37.4  公里 (位於花蓮縣近海)(花蓮縣近海),4
85,2013/11/10 19:23,121.94,24.45,3.9,12.3,宜蘭縣政府南偏東方  35.9  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/11/11 01:58,121.91,24.3,3.9,7.4,花蓮縣政府東北方  45.1  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/11/11 01:59,121.73,24.26,3.2,11.4,花蓮縣政府北偏東方  32.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),1
100,2013/11/11 12:55,121.75,24.25,3.5,13.8,花蓮縣政府北偏東方  31.7  公里 (位於花蓮縣近海)(花蓮縣近海),2
